"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Bent Over Row (Band)",,"",0,"normal",,10,,,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Bent Over Row (Band)",,"",1,"normal",,10,,,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Bent Over Row (Band)",,"",2,"normal",,10,,,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Incline Push Ups",,"",0,"normal",,10,,,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Incline Push Ups",,"",1,"normal",,10,,,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Glute Bridge",,"",0,"normal",,10,,,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Glute Bridge",,"",1,"normal",,10,,,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Heel Taps",,"",0,"normal",,10,,,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Heel Taps",,"",1,"normal",,8,,,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Dead Bug",,"",0,"normal",,8,,,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Dead Bug",,"",1,"normal",,7,,,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Plank",,"",0,"normal",,,,34,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Plank",,"",1,"normal",,,,30,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","Push Up",,"",0,"normal",,2,,,
"Home - Mon/Thurs/Sat","May 23, 2026, 10:42 PM","May 23, 2026, 11:01 PM","","HIIT",,"",0,"normal",,,,600,
"Afternoon workout 💪","May 19, 2026, 12:45 PM","May 19, 2026, 1:00 PM","","HIIT",,"",0,"normal",,,,600,
"Afternoon workout 💪","May 19, 2026, 12:45 PM","May 19, 2026, 1:00 PM","","HIIT",,"",1,"normal",,,,300,
"Afternoon workout 💪","May 18, 2026, 4:13 PM","May 18, 2026, 4:57 PM","","HIIT",,"",0,"normal",,,,300,
"Afternoon workout 💪","May 18, 2026, 4:13 PM","May 18, 2026, 4:57 PM","","HIIT",,"",1,"normal",,,,2311,
"Home - Mon/Thurs/Sat","May 11, 2026, 9:45 PM","May 11, 2026, 11:09 PM","","Squat (Bodyweight)",,"",0,"normal",,10,,,
"Home - Mon/Thurs/Sat","May 11, 2026, 9:45 PM","May 11, 2026, 11:09 PM","","Squat (Bodyweight)",,"",1,"normal",,10,,,
"Home - Mon/Thurs/Sat","May 11, 2026, 9:45 PM","May 11, 2026, 11:09 PM","","Bent Over Row (Band)",,"",0,"normal",,10,,,
"Home - Mon/Thurs/Sat","May 11, 2026, 9:45 PM","May 11, 2026, 11:09 PM","","Bent Over Row (Band)",,"",1,"normal",,10,,,
"Home - Mon/Thurs/Sat","May 11, 2026, 9:45 PM","May 11, 2026, 11:09 PM","","Bent Over Row (Band)",,"",2,"normal",,10,,,
"Home - Mon/Thurs/Sat","May 11, 2026, 9:45 PM","May 11, 2026, 11:09 PM","","Dead Bug",,"",0,"normal",,10,,,
"Home - Mon/Thurs/Sat","May 11, 2026, 9:45 PM","May 11, 2026, 11:09 PM","","Dead Bug",,"",1,"normal",,10,,,
"GYM - Monday/Friday","May 5, 2026, 1:57 PM","May 5, 2026, 2:32 PM","","Dead Bug",,"",0,"normal",,10,,,
"GYM - Monday/Friday","May 5, 2026, 1:57 PM","May 5, 2026, 2:32 PM","","Dead Bug",,"",1,"normal",,10,,,
"GYM - Monday/Friday","May 5, 2026, 1:57 PM","May 5, 2026, 2:32 PM","","Lat Pulldown (Cable)",,"",0,"normal",55,10,,,
"GYM - Monday/Friday","May 5, 2026, 1:57 PM","May 5, 2026, 2:32 PM","","Lat Pulldown (Cable)",,"",1,"normal",55,4,,,
"GYM - Monday/Friday","May 5, 2026, 1:57 PM","May 5, 2026, 2:32 PM","","Lat Pulldown (Cable)",,"",2,"normal",40,10,,,
"GYM - Monday/Friday","May 5, 2026, 1:57 PM","May 5, 2026, 2:32 PM","","Seated Row (Machine)",,"",0,"normal",55,5,,,
"GYM - Monday/Friday","May 5, 2026, 1:57 PM","May 5, 2026, 2:32 PM","","Seated Row (Machine)",,"",1,"normal",40,10,,,
